,Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches,Term ID,English term,Description,Sanskrit (IAST),Sanskrit
377,2100,2176,md-16 (sn5y),mahapadmah,mahāpadmaḥ,महापद्मः,,,,ITA-5.71.5,Paediatric erysipelas,,mahāpadmaḥ,मिापमिः
378,2110,2186,na-1,yuka,yūkā,यूका,,"the disorder is characterized by kaṇḍūḥ [itching], kōthaḥ [wheal like skin eruptions], piṭikā/piḍikā [papules/eruptions], gaṇḍaḥ [nodular swelling]",,ITA-5.13.2,"Head lice
infestation","A disorder characterized by some or all the following signs
and symptoms: itching; wheal-like skin eruptions; papules/
eruptions; nodular swelling.",yūkā,यू्का
379,2159,2237,o-2 (sn5y),ajagallika,ajagallikā,अजगल्लिका,,,note: also classifed under #san@balarogah-sa~gkirna#[md],ITA-5.62.2,"Papules in children
resembling green
gram","A disorder characterized by hard nodular/papular lesions;
painless nodule; nodule of green gram size; skin-coloured
nodule; waxy/unctuous lesion.",ajagallikā,अजगवलल्का
380,2159,2237,o-2 (sn5y),ajagallika,ajagallikā,अजगल्लिका,,,note: also classifed under #san@balarogah-sa~gkirna#[md],ITA-5.71.6,"Nodular skin disease
of children","A disorder characterized by hard nodules/papular lesions;
painless nodule; nodule resembling green gram in size;
skin-coloured nodule; waxy/unctuous nodule.",ajagallikā,अजगवलल्का
381,2160,2238,o-3 (sp9y),anusayi,anuśayī,अनुशयी,,,,ITA-5.62.19,"Deep-rooted
abscess in foot","A disorder characterized by a less inflamed nodule; deep-
rooted lesion; lesion with tendency to suppurate internally;
skin-coloured nodule; located in scalp/head.",anuśayī,अिुशयी
382,2162,2241,o-5 (sn0y),avapidakah,avapīḍakaḥ,अवपीडकः,,,,ITA-5.62.37,Preputial tear,"A disorder characterized by fissuring or cracking of the
preputial skin.",avapīḍakaḥ,अर्पी््कः
383,2163,2242,sn48 (o-6),alasah,alasaḥ,अलसः,,"it is characterised by sticky moistness, itching, burning sensation of interdigital areas of feet. this may be explained by: (a) vitiation of kaphadosha, pittadosha affecting skin, blood, muscle.",,ITA-5.62.24,"Lesion of interdigital
clefts of feet","A disorder characterized by pain in the interdigital areas of
feet; itching in interdigital areas of feet; sticky moistness of
interdigital areas of feet; burning sensation of interdigital
areas of feet.",alasaḥ,अलसः
384,2164,2243,sn70 (o-7),arumshika,arūṃṣikā,अरूंषिका,,it is characterised by multiple opening lesion and excessive soddening in the scalp. this may be explained by: (a) vitiated kapha and blood localising over the scalp.,,ITA-5.62.27,Furunculosis,"A disorder characterized by wet papules on scalp; scalp
lesions with multiple openings; lesions resembling mustard
seeds in shape and size; lesion resembling black oil plant or
jyotishmati (Celestrus paniculatus) seeds in shape and size.",arūṃṣikā,अरूं वश्का
385,2165,2244,o-8 (sn5y),indraviddha,indraviddhā,इन्द्रविद्धा,,,,ITA-5.62.8,"Skin lesions with
many small central
vesicles resembling
lotus fruit seeds","A disorder characterized by a conglomeration of numerous
papular lesions resembling the carpellary, receptacle and
seed capsules of lotus flower.",indraviddhā,इनद्रवर्द्ा
386,2167,2246,sn4l (o-10),kothah,koṭhaḥ,कोठः,,it is characterised by reddish raised circular rashes with itching. this may be explained by: (a) vitiation of pittadosha and kaphadosha.,note: also classifed under #san@sonitajanyarogah#[ed-2] and #san@raktavahasrotovikara# [ed],ITA-5.59.24,"Transient large circular
skin eruptions","A skin disease characterized by a reddish circular rash;
multiple circular lesions or rashes; lesions associated with
excessive itching. (A transient condition occurring due to
improper administration of emesis therapy or forceful
suppression of vomiting.",koṭhaḥ,्कोिः
387,2168,2247,o-11 (sn5y),irivellika,irivellikā,इरिवेल्लिका,,,,ITA-5.62.13,"Round skin lesions
on scalp","A disorder characterized by occurrence of a lesion associated
with fever; popular lesion in supraclavicular region; circular
lesion; papular lesion associated with severe pain.",irivellikā,इरिर्ेवलल्का
388,2169,2248,sn4t (o-12),kakshah,kakṣāḥ,कक्षाः,,,,ITA-5.62.14,"Black skin lesions on
arm, lateral chest
wall,
shoulder and axilla","A disorder characterized by some or all the following signs
and symptoms: vesicular lesions on upper arm; vesicular
lesions in and around flanks; vesicular lesions in periaxillary
region; vesicular lesions on shoulder; black-coloured
vesicular lesions; painful vesicles; minute papular/vesicular
lesions; lesions resembling parched paddy; thick and
dense lesions.",kakṣāḥ,्कक्षाः
389,2170,2249,o-13 (sn9y),kaccapika,kacchapikā,कच्छपिका,,,,ITA-5.62.6,"Skin lesions resembling
tortoise shell","A disorder characterized by hard nodular swellings; tortoise
shell-like swelling raised in the middle; five or six in number.",kacchapikā,्क्छिवप्का
390,2171,2250,o-14 (sn9y),kadarah,kadaraḥ,कदरः,,,,ITA-5.62.23,"Corns, callosities","A disorder characterized by a swelling resembling an Indian
jujube or kola in size and shape; swelling resembling a nail.",kadaraḥ,्कदिः
391,2172,2251,o-15 (sn6y),kunakhah,kunakhaḥ,कुनखः,,,,ITA-5.62.18,Paronychia,"A disorder characterized by the rough appearance and
texture of nails; blackish-coloured nails; dry nails.",kunakhaḥ,्कुिखः
392,2174,2254,o-17 (sn5y),gardabika,gardabhikā,गर्दभिका,,,,ITA-5.62.9,"Circular blood-
filled eruption","A disorder characterized by a main lesion surrounded by
many small reddish lesions; rounded eruptions; rounded
lesions; raised lesions; lesions associated with severe pain;
abundant papular lesions.",gardabhikā,गदववा भ्का
393,2175,2255,sm55 (o-18),gudabramsah,gudabhraṃśaḥ,गुदभ्रंशः,,it is characterised by rectum or a part of rectum descending through the anus and inflammation of the rectal muscles. this may be explained by: (a) vitiated vata affecting the rectal region.,,ITA-5.62.41,Rectal prolapse,"A disorder characterized by protrusion of the rectum
outside the body.",gudabhraṃśaḥ,गुदभ्ंशः
394,2176,2256,sn4s (o-19),carmakilah,carmakīlaḥ,चर्मकीलः,,"it is characterised by hard nail like eruptions of variable shapes and sizes appearing on the surface of skin. this may be explained by: (a) weak digestive and metabolic factors, vitiation of primary product of digested food leading to vitiation of vata affecting the blood, muscle, fat and skin.",,ITA-5.59.25,Warts,"A disorder characterized by some or all the following signs
and symptoms: nail-like projections from the skin surface;
fixed projection; rough-textured projection; haemorrhoidal
mass-like projection from skin surface; whitish projection;
blackish projection.",carmakīlaḥ,िमवा्कीलः
395,2182,2262,o-22 (sm0y),jalagardabah,jālagardabhaḥ,जालगर्दभः,,,,ITA-5.62.12,"Nonsuppurating
cellulitis","A disorder characterized by a slowly spreading swelling;
swelling tending not to suppurate; small swelling; copper-
coloured swelling; associated with fever.",jālagardabhaḥ,जालगदवाभः
396,2184,2265,o-24 (sn5y),nyaccah,nyacchaḥ,न्यच्छः,,,,ITA-5.62.34,"Congenital bluish or
black patch on body","A disorder characterized by circular patches on body; large-
sized patches; small-sized patches; bluish black-coloured
patches; blackish-coloured patches; painless patches.",nyacchaḥ,नय्छिः
397,2186,2267,o-26 (sn41),nilika,nīlikā,नीलिका,,,,ITA-5.62.35,"Black patch on face
or body part","A disorder characterized by a black-coloured circular lesion
on body; black-coloured circular lesion on face; painless
circular lesion; thin lesion on body or face.",nīlikā,िीवल्का
398,2187,2268,o-27,panasika,panasikā,पनसिका,,"the disorder is characterized by ugraruk [associated with severe pain], karṇasya upari dēśēpiḍikā [nodular swelling over ear pinna], karṇasya samantāt piḍikā [nodular swelling in the surrounding of external ear], karṇasya pr̥ṣṭha dēśē piḍikā [nodular swelling on the posterior surface of pinna], śālūkavat [nodule that resembles the root of lotus], kaṭhina piḍikā [hard nodular swelling], sthira piḍikā [fixed nodular swelling]",,ITA-5.62.11,"Abscess in the inner
part of the ear","A disorder characterized by a swelling associated with severe
pain; nodular swelling over pinna of ear; nodular swelling
around the external ear; nodular swelling on posterior surface
of pinna; nodule resembling the lotus root; hard nodular
swelling; fixed nodular swelling.",panasikā,पिवस्का
399,2190,2272,o-30 (sn0a),parivartika,parivartikā,परिवर्तिका,,,,ITA-5.62.36,Paraphimosis,"A disorder characterized by the foreskin or prepuce becoming
stuck behind the glans penis and hanging underneath
like a gland.",parivartikā,परिर्रतवा्का
400,2193,2276,o-31,padadari,pādadārī,पाददारी,,"the disorder is characterized by pād tala dāraṇa [fissuring and cracking of feet], sarujaḥ [associated with pain]",,ITA-5.62.22,Rhagades,"A disorder characterized by fissuring and cracking of the feet;
associated with pain.",pādadārī,पाददािी
401,2195,2278,o-33,mashakah,maṣakaḥ,मषकः,,"the disorder is characterized by avēdanā maṇḍalaḥ gātrēṣu [painless round lesions in the body], māṣavat maṇḍalaḥ [lesion that appear like māṣa (black gram)], kr̥ṣṇa maṇḍalaḥ [blackish coloured lesion], utsanna maṇḍalaḥ [elevated from the skin surface]",,ITA-5.62.32,"Spots resembling
black gram","A disorder characterized by painless round lesions on body;
lesions resembling black gram; blackish-coloured lesion;
raised from the skin surface.",maṣakaḥ,मष्कः
402,2196,2279,o-34 (sn5y),yavaprakhya,yavaprakhyā,यवप्रख्या,,,,ITA-5.62.3,"Skin lesions
resembling barley
seeds","A disorder characterized by knotted lesions; lesions located in
muscle tissue; barley-shaped lesions; very hard lesions.",yavaprakhyā,यर्प्रखया
403,2202,2285,o-40 (sn5y),varahadamshtrakah,varāhadaṃṣṭrakaḥ,वराहदंष्ट्रकः,,,,ITA-5.62.42,"Lesion resembling an
injury from pig
tusk, pig-bite","A disorder characterized by severe pain; itching sensation;
fever; associated with suppuration of skin; associated with
burning sensation; reddish-coloured appearance of lesion
circumference.",varāhadaṃṣṭrakaḥ,र्िािदष्ट्रं ्कः
404,2203,2286,o-41 (sn5y),valmikah,valmīkaḥ,वल्मीकः,,,,ITA-5.62.7,"Anthill-like growth on
palms; sole; neck
with openings","A disorder characterized by some or all the following signs
and symptoms: the occurrence of a lesion with multiple
minute openings in the palm resembling an anthill; lesion with
multiple minute openings in sole resembling an anthill; lesion
with multiple minute openings in supraclavicular region
resembling an anthill; lesion with multiple minute openings at
joints resembling an anthill; pain; associated with itching;
burning sensation; excessive sticky discharge; gradual
development; pricking pain.",valmīkaḥ,र्लमी्कः
405,2209,2293,o-43 (sp9y),vidarika,vidārikā,विदारिका,,,,ITA-5.62.20,"Abscess resembling
Puraria tuberosa
rhizome","A disorder characterized by a round papule resembling a
tuber or vidārī; circular lesion resembling vidārikanda in axilla;
circular lesion resembling vidārikanda in groin.",vidārikā,वर्दारि्का
406,2210,2294,o-44 (sn5y),vivruta,vivṛtā,विवृता,,,,ITA-5.62.5,"Papules resembling
a ripe fig","A disorder characterized by lesion resembling a ripe fig fruit;
intense burning sensation; lesion with wide opening; round-
shaped; fever.",vivṛtā,वर्र्ृता
407,2212,2296,sn4p (o-46),vispotakah,visphoṭakaḥ,विस्फोटकः,,it is characterised by appearance of eruption of skin with collection of fluid; may be associated with fever. this may be explained by: (a) pitta localising in the skin.,note: also classifed under #san@raktavahasrotovikarah#[ed],ITA-5.61.1,"Skin disorder with
pustules covered with
thin membrane","A disorder characterized by lesions resembling burnt scars;
blisters; associated with fever.",visphoṭakaḥ,वर्सफोट्कः
408,2223,2307,o-48 (sp71),sarkararbudah,śarkarārbudaḥ,शर्करार्बुदः,,,note: also classifed under #san@mamsavahasrotovikarah#[ee],ITA-5.62.21,Granulated tumour,"A disorder characterized by a swelling of variegated
coloration; moistening/soddening; foul smell; sudden
occurrence of bleeding; honey-like discharge; clarified butter-
like discharge; discharge resembling fat.",śarkarārbudaḥ,श्कवािाबुवादः
409,2224,2308,o-49 (sm5y),sanniruddhagudah,sanniruddhagudaḥ,सन्निरुद्धगुदः,,,,ITA-5.62.38,Anal stenosis,"A disorder characterized by difficulty in defecation; narrowed
anal opening.",sanniruddhagudaḥ,सवनिरुद्गुदः
410,2229,2314,p,vishah,viṣaḥ,विषः,,,,ITA-5.72.1,Poisoning,,viṣaḥ,वर्षः
411,2282,2369,pc (sq6y),sthavaravishah,sthāvaraviṣaḥ,स्थावरविषः,,,,ITA-5.72.2,Vegetable poison,"Poisoning characterized by fever; hiccups; tenderness or
sensitive teeth/dental hyperaesthesia; choking sensation in
throat; frothy vomiting; restlessness; breathlessness/difficulty
in breathing; syncope or swooning.",sthāvaraviṣaḥ,सरार्िवर्षः
